pitch,phase,cycle,cat_cycle,participant,shift
243.917088692162,Baseline,0,1,1,-100
-6.31612918843622,Baseline,0,1,2,100
-84.2510748560254,Baseline,0,1,3,-100
12.4947157487227,Baseline,0,1,4,100
25.7212395482215,Baseline,0,1,5,100
-79.2298902878188,Baseline,0,1,7,100
-34.8752099681418,Baseline,0,1,8,-100
5.32956093463677,Baseline,0,1,9,100
76.981451178002,Baseline,0,1,10,-100
-53.9425368706471,Baseline,0,1,11,100
-13.2127553492766,Baseline,0,1,12,-100
12.8682171942961,Baseline,0,1,13,100
49.2023855189337,Baseline,0,1,14,-100
16.8905551267804,Baseline,0,1,15,100
25.5521336471422,Baseline,0,1,19,100
53.3024575369564,Baseline,0,1,20,-100
-4.73122114558974,Baseline,0,1,1,-100
-40.9664356036381,Baseline,0,1,2,100
62.1949224117563,Baseline,0,1,3,-100
42.8216238231484,Baseline,0,1,4,100
72.3500859205603,Baseline,0,1,5,100
74.3247780436775,Baseline,0,1,6,-100
-56.8271359670467,Baseline,0,1,7,100
-18.2848565267997,Baseline,0,1,8,-100
4.76997405438419,Baseline,0,1,10,-100
-36.2716744510971,Baseline,0,1,11,100
-4.35681054366412,Baseline,0,1,12,-100
21.7201877930993,Baseline,0,1,13,100
-29.100007304451,Baseline,0,1,14,-100
-19.029830517574,Baseline,0,1,15,100
-51.9099442994161,Baseline,0,1,16,100
41.8116468726491,Baseline,0,1,17,100
0.602319291211005,Baseline,0,1,18,-100
-23.254496053604,Baseline,0,1,19,100
27.2204883778204,Baseline,0,1,20,-100
-35.5660791017583,Baseline,0,1,2,100
47.4476185503606,Baseline,0,1,3,-100
59.0528833767499,Baseline,0,1,4,100
69.8405428736293,Baseline,0,1,5,100
-30.974754181157,Baseline,0,1,6,-100
12.6042589634703,Baseline,0,1,7,100
-129.675271521671,Baseline,0,1,8,-100
37.4383486870149,Baseline,0,1,9,100
46.2075966123264,Baseline,0,1,10,-100
-17.2157933173412,Baseline,0,1,11,100
75.9107555743051,Baseline,0,1,12,-100
89.1064362400844,Baseline,0,1,13,100
26.8562543714103,Baseline,0,1,14,-100
40.7850519507241,Baseline,0,1,16,100
8.00016710963147,Baseline,0,1,18,-100
14.2011506698518,Baseline,0,1,19,100
57.08525358876,Baseline,0,1,20,-100
-11.6492386220101,Baseline,0,1,1,-100
81.1177437226247,Baseline,0,1,2,100
4.26554656024837,Baseline,0,1,3,-100
-28.3944756720031,Baseline,0,1,4,100
25.152531964831,Baseline,0,1,5,100
33.012999881112,Baseline,0,1,6,-100
-4.48137862558971,Baseline,0,1,7,100
-27.874299230177,Baseline,0,1,8,-100
36.3937803538087,Baseline,0,1,9,100
-15.6797446408778,Baseline,0,1,10,-100
118.198730021712,Baseline,0,1,11,100
-79.5856709634608,Baseline,0,1,13,100
-71.7667676014108,Baseline,0,1,14,-100
43.3936936702475,Baseline,0,1,15,100
-90.3276343854129,Baseline,0,1,16,100
122.989125023129,Baseline,0,1,17,100
-56.6246974885027,Baseline,0,1,18,-100
-6.98752612012189,Baseline,0,1,19,100
-9.19995351363934,Baseline,0,1,20,-100
57.290876242665,Baseline,0,1,2,100
-16.9311112266318,Baseline,0,1,3,-100
-72.2466458922132,Baseline,0,1,4,100
66.3964363757438,Baseline,0,1,5,100
-7.90521962806865,Baseline,0,1,6,-100
-26.4061141966803,Baseline,0,1,7,100
49.4789885817127,Baseline,0,1,8,-100
-1.12802821219237,Baseline,0,1,9,100
59.7062564794293,Baseline,0,1,10,-100
-2.85280534850325,Baseline,0,1,11,100
136.425931456109,Baseline,0,1,12,-100
-68.0560056493947,Baseline,0,1,13,100
-92.1927825489706,Baseline,0,1,14,-100
-38.2490375697391,Baseline,0,1,15,100
-19.9043654409976,Baseline,0,1,16,100
16.0498589990666,Baseline,0,1,17,100
0.796542501309078,Baseline,0,1,18,-100
59.8235109881652,Baseline,0,1,19,100
41.8154783872729,Baseline,0,1,20,-100
-6.90693638389465,Baseline,0,1,1,-100
-43.6650541638236,Baseline,0,1,2,100
73.1879195565867,Baseline,0,1,3,-100
34.941868773529,Baseline,0,1,4,100
1.54957553492402,Baseline,0,1,5,100
59.2304036862113,Baseline,0,1,6,-100
-34.6113118681874,Baseline,0,1,7,100
-55.9315991800802,Baseline,0,1,8,-100
-17.3758202810534,Baseline,0,1,9,100
-17.8677735719101,Baseline,0,1,10,-100
-1.47843060215067,Baseline,0,1,11,100
17.9415448482449,Baseline,0,1,12,-100
-17.1837723535812,Baseline,0,1,13,100
9.29957464071498,Baseline,0,1,14,-100
-0.469306299245538,Baseline,0,1,15,100
74.0112509695374,Baseline,0,1,16,100
-81.7035308134352,Baseline,0,1,18,-100
23.2523586376261,Baseline,0,1,19,100
63.6702187159142,Baseline,0,1,20,-100
-10.1284614591483,Baseline,0,1,1,-100
-20.7990982940246,Baseline,0,1,2,100
-62.9706770672728,Baseline,0,1,4,100
11.564455140257,Baseline,0,1,5,100
42.6622735374661,Baseline,0,1,6,-100
-6.60477199008375,Baseline,0,1,7,100
-47.263697266263,Baseline,0,1,8,-100
40.5285676303905,Baseline,0,1,9,100
13.6679920206195,Baseline,0,1,11,100
36.5201870855189,Baseline,0,1,12,-100
-56.0804696268586,Baseline,0,1,13,100
-41.7602625985244,Baseline,0,1,14,-100
16.3587553802511,Baseline,0,1,15,100
-35.0661178585283,Baseline,0,1,16,100
3.87715236961535,Baseline,0,1,17,100
-23.6343278112416,Baseline,0,1,18,-100
-10.4405401288153,Baseline,0,1,19,100
-100.773993786645,Baseline,0,1,1,-100
-71.407400112517,Baseline,0,1,3,-100
32.9855082940706,Baseline,0,1,4,100
-24.4042957743901,Baseline,0,1,5,100
-111.788960277243,Baseline,0,1,6,-100
108.488757190269,Baseline,0,1,7,100
-33.3745210804363,Baseline,0,1,8,-100
22.4835102450864,Baseline,0,1,9,100
46.6384613221991,Baseline,0,1,10,-100
29.8974287996526,Baseline,0,1,11,100
106.656124205866,Baseline,0,1,12,-100
-45.1261431600918,Baseline,0,1,13,100
2.3834802018897,Baseline,0,1,14,-100
-74.3505390780384,Baseline,0,1,15,100
-42.180905553186,Baseline,0,1,17,100
-32.1603141389875,Baseline,0,1,18,-100
-12.301871678615,Baseline,0,1,19,100
56.568072956639,Baseline,0,1,20,-100
5.87327321581743,Baseline,0,1,1,-100
-32.5288581400151,Baseline,0,1,2,100
56.8764765478858,Baseline,0,1,3,-100
15.0512493613615,Baseline,0,1,4,100
-64.6020245681346,Baseline,0,1,5,100
-28.5198071428629,Baseline,0,1,6,-100
81.8567803135289,Baseline,0,1,7,100
-58.1918569523846,Baseline,0,1,8,-100
-60.5653284164139,Baseline,0,1,9,100
-63.5480762904613,Baseline,0,1,10,-100
-24.0528931169113,Baseline,0,1,11,100
-20.7387066358385,Baseline,0,1,12,-100
-5.26528672084832,Baseline,0,1,14,-100
-18.5038590872846,Baseline,0,1,15,100
66.7416067294226,Baseline,0,1,16,100
139.959350847292,Baseline,0,1,17,100
3.01591381731723,Baseline,0,1,18,-100
28.0675552608519,Baseline,0,1,19,100
-54.3763890646736,Baseline,0,1,1,-100
18.0585022170967,Baseline,0,1,2,100
-33.0770283804526,Baseline,0,1,3,-100
44.7651661880598,Baseline,0,1,4,100
-25.322086326758,Baseline,0,1,5,100
-43.5778319385156,Baseline,0,1,6,-100
-27.9918235488117,Baseline,0,1,7,100
17.5606775183346,Baseline,0,1,8,-100
-74.4428787486714,Baseline,0,1,9,100
-11.7199911133735,Baseline,0,1,11,100
-85.7314517282769,Baseline,0,1,12,-100
129.327059466339,Baseline,0,1,13,100
1.4869600569958,Baseline,0,1,14,-100
-32.0987237714732,Baseline,0,1,15,100
119.410583579772,Baseline,0,1,16,100
17.1670188999969,Baseline,0,1,17,100
26.0924702662222,Baseline,0,1,18,-100
-35.6839287527085,Baseline,0,1,19,100
5.15356890513551,Baseline,0,1,20,-100
-123.193082209877,Baseline,0,1,1,-100
-2.45013368842972,Baseline,0,1,2,100
-8.78641970507312,Baseline,0,1,3,-100
40.2734725363959,Baseline,0,1,4,100
-7.97513120974814,Baseline,0,1,6,-100
4.33449738380174,Baseline,0,1,7,100
-22.7500334763327,Baseline,0,1,9,100
34.1004828534255,Baseline,0,1,10,-100
-37.9226206600695,Baseline,0,1,11,100
-54.0594960899938,Baseline,0,1,12,-100
32.5236381292938,Baseline,0,1,13,100
-3.94520126814369,Baseline,0,1,14,-100
-38.3485296895493,Baseline,0,1,15,100
100.161448774615,Baseline,0,1,16,100
62.4532302781384,Baseline,0,1,17,100
57.2287705843856,Baseline,0,1,18,-100
-27.9239505395972,Baseline,0,1,19,100
-42.4367894542499,Baseline,0,1,20,-100
54.7047219623832,Baseline,0,1,1,-100
25.5471839170619,Baseline,0,1,2,100
6.37437596581171,Baseline,0,1,3,-100
-43.0059041343678,Baseline,0,1,5,100
-22.6508756472396,Baseline,0,1,6,-100
10.5348079709399,Baseline,0,1,7,100
-39.8520824366319,Baseline,0,1,8,-100
14.1837571042827,Baseline,0,1,9,100
18.9120647853858,Baseline,0,1,10,-100
-28.5533708479616,Baseline,0,1,11,100
41.1270787785419,Baseline,0,1,12,-100
3.0384351570526,Baseline,0,1,13,100
26.7625850616471,Baseline,0,1,14,-100
-37.7516113161875,Baseline,0,1,15,100
-95.5527484427977,Baseline,0,1,17,100
-111.496597444414,Baseline,0,1,18,-100
-86.4475085607181,Baseline,0,1,19,100
-16.868552105932,Baseline,0,1,20,-100
-52.0233872334212,Baseline,0,1,1,-100
62.6535124234363,Baseline,0,1,2,100
-42.6804895384402,Baseline,0,1,3,-100
36.9030682332698,Baseline,0,1,4,100
-121.139019151148,Baseline,0,1,6,-100
-23.1513838925386,Baseline,0,1,7,100
10.4410884171553,Baseline,0,1,8,-100
-11.789944358871,Baseline,0,1,9,100
-97.8115149016397,Baseline,0,1,10,-100
22.9929172041263,Baseline,0,1,11,100
-32.4438144578889,Baseline,0,1,12,-100
8.44564840917558,Baseline,0,1,13,100
58.3122784974861,Baseline,0,1,14,-100
51.5319652282344,Baseline,0,1,15,100
36.7794698805521,Baseline,0,1,16,100
6.69944407051306,Baseline,0,1,17,100
20.4294968304059,Baseline,0,1,18,-100
2.35846772613331,Baseline,0,1,19,100
-6.29515402261869,Baseline,0,1,20,-100
11.0161894175637,Baseline,0,1,1,-100
-7.44012060930917,Baseline,0,1,2,100
-26.429250261999,Baseline,0,1,3,-100
0.504582476055483,Baseline,0,1,4,100
-13.1922281578839,Baseline,0,1,5,100
14.5095503582791,Baseline,0,1,7,100
-60.6999872532282,Baseline,0,1,8,-100
-103.450836403032,Baseline,0,1,10,-100
-72.2393877954319,Baseline,0,1,11,100
-54.8012403422944,Baseline,0,1,12,-100
-54.7673412173597,Baseline,0,1,14,-100
-12.5571360724938,Baseline,0,1,15,100
63.9470351714398,Baseline,0,1,16,100
11.1011475925796,Baseline,0,1,17,100
-36.791157660416,Baseline,0,1,18,-100
-18.7628651419568,Baseline,0,1,19,100
-95.6025643883826,Baseline,0,1,1,-100
10.2474147334539,Baseline,0,1,2,100
63.1725912343783,Baseline,0,1,3,-100
7.13839745465931,Baseline,0,1,4,100
2.24562096065037,Baseline,0,1,5,100
35.7759820656195,Baseline,0,1,6,-100
17.3005461545676,Baseline,0,1,7,100
53.0320680726249,Baseline,0,1,8,-100
15.9382057553018,Baseline,0,1,9,100
-23.3131701988792,Baseline,0,1,10,-100
72.6637371638231,Baseline,0,1,11,100
72.2024448707124,Baseline,0,1,13,100
-15.3597989029798,Baseline,0,1,14,-100
48.4683790182522,Baseline,0,1,15,100
-46.5873971366491,Baseline,0,1,16,100
-20.1111790356937,Baseline,0,1,17,100
24.4288930741049,Baseline,0,1,19,100
-18.1517432046426,Baseline,0,1,20,-100
1.14008720911088,Baseline,0,1,1,-100
-30.290712948226,Baseline,0,1,2,100
23.1376257309129,Baseline,0,1,3,-100
-32.6512084902467,Baseline,0,1,4,100
-70.3184010459118,Baseline,0,1,5,100
87.3811107291568,Baseline,0,1,6,-100
-43.725072882707,Baseline,0,1,8,-100
3.58645383392401,Baseline,0,1,9,100
-9.99197187200424,Baseline,0,1,10,-100
5.10517886267704,Baseline,0,1,11,100
-45.4447664134369,Baseline,0,1,12,-100
1.16890230320144,Baseline,0,1,13,100
91.6609561658322,Baseline,0,1,14,-100
-13.8790891367769,Baseline,0,1,15,100
123.064438111217,Baseline,0,1,16,100
-67.8945863405754,Baseline,0,1,17,100
-17.262456839809,Baseline,0,1,18,-100
122.046062479724,Baseline,0,1,19,100
-19.9970352465206,Baseline,0,1,20,-100
16.056538630219,Baseline,0,1,1,-100
31.3922404352544,Baseline,0,1,2,100
24.4945571758394,Baseline,0,1,3,-100
-24.1910907074602,Baseline,0,1,4,100
-2.77649117959467,Baseline,0,1,5,100
19.0029249890477,Baseline,0,1,6,-100
114.168908365408,Baseline,0,1,7,100
83.2632173446932,Baseline,0,1,8,-100
30.9077904693654,Baseline,0,1,9,100
65.8278947378339,Baseline,0,1,10,-100
32.4105631592834,Baseline,0,1,11,100
-59.2230910004067,Baseline,0,1,12,-100
54.2170155824687,Baseline,0,1,13,100
30.0857574292556,Baseline,0,1,15,100
-85.786938058887,Baseline,0,1,16,100
-0.384973959241779,Baseline,0,1,18,-100
-3.63004588765895,Baseline,0,1,19,100
-27.7747685769295,Baseline,0,1,20,-100
93.6288941143891,Baseline,0,1,1,-100
-39.396726028702,Baseline,0,1,2,100
-2.13503344916279,Baseline,0,1,3,-100
-74.5185904753536,Baseline,0,1,4,100
59.4477879142637,Baseline,0,1,5,100
-21.9790242728888,Baseline,0,1,6,-100
-186.29109856568,Baseline,0,1,7,100
